51bitquant
open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1559918820000,7928.75000000,7932.03000000,7925.59000000,7925.60000000,14.09748200,1559918879999,111773.49128241,205,7.91768400,62784.19244657,0
1559918880000,7926.16000000,7926.66000000,7912.14000000,7915.22000000,30.87715200,1559918939999,244616.39436318,336,8.22632300,65158.08302230,0
1559918940000,7915.22000000,7921.15000000,7911.00000000,7919.45000000,27.40701300,1559918999999,216928.45598633,256,19.20088600,151988.86145590,0
1559919000000,7918.45000000,7919.12000000,7903.76000000,7910.96000000,22.03030400,1559919059999,174233.82797726,397,9.72722600,76958.20022993,0
1559919060000,7910.96000000,7915.52000000,7907.11000000,7915.52000000,17.33157100,1559919119999,137134.46771191,238,12.61808300,99837.81801083,0
1559919120000,7915.82000000,7915.84000000,7910.50000000,7912.02000000,10.85990400,1559919179999,85933.02192974,158,5.59971300,44311.17187280,0
1559919180000,7912.02000000,7919.13000000,7910.51000000,7910.73000000,31.69874500,1559919239999,250861.54291980,261,15.44099000,122199.31677145,0
1559919240000,7910.71000000,7913.57000000,7910.50000000,7910.50000000,9.49458700,1559919299999,75114.08844081,144,5.66802700,44842.24954809,0
1559919300000,7910.36000000,7912.60000000,7907.92000000,7911.47000000,17.00264900,1559919359999,134499.26671428,216,8.67754400,68645.72771694,0
1559919360000,7909.96000000,7916.57000000,7906.79000000,7908.92000000,11.81581600,1559919419999,93463.74135106,174,8.49986800,67233.68002858,0
1559919420000,7908.92000000,7914.35000000,7908.92000000,7911.23000000,9.89526500,1559919479999,78283.85223940,145,7.02735600,55595.83752269,0
1559919480000,7911.25000000,7912.77000000,7906.29000000,7909.92000000,13.79442000,1559919539999,109126.72951463,191,8.44472300,66810.88894769,0
1559919540000,7909.00000000,7916.00000000,7908.00000000,7916.00000000,12.44495500,1559919599999,98463.54499649,180,10.82766700,85667.92435974,0
1559919600000,7916.00000000,7924.60000000,7916.00000000,7920.96000000,22.10882700,1559919659999,175124.84723870,327,11.66458600,92400.82950095,0
1559919660000,7920.96000000,7924.70000000,7920.96000000,7921.07000000,14.53872700,1559919719999,115194.08943755,206,6.72488700,53282.70060833,0
1559919720000,7921.07000000,7930.00000000,7921.07000000,7926.22000000,12.57671800,1559919779999,99687.87423312,241,7.11300200,56384.98823186,0
1559919780000,7927.44000000,7928.93000000,7924.15000000,7926.38000000,9.08861500,1559919839999,72047.39196121,171,4.28674800,33982.99888528,0
1559919840000,7924.68000000,7930.90000000,7924.07000000,7930.90000000,9.62221000,1559919899999,76271.55071077,191,5.77421500,45768.02292064,0
1559919900000,7929.68000000,7932.34000000,7928.69000000,7930.33000000,9.17407000,1559919959999,72758.35731179,198,5.28727000,41935.42601980,0
1559919960000,7931.02000000,7935.00000000,7930.01000000,7934.44000000,8.56003300,1559920019999,67897.72538180,181,5.62269400,44599.35243201,0
1559920020000,7935.00000000,7935.50000000,7927.58000000,7930.46000000,18.23245500,1559920079999,144595.65238793,191,4.75522000,37713.83938947,0
1559920080000,7931.89000000,7931.89000000,7925.00000000,7926.25000000,15.31539300,1559920139999,121410.85507497,214,3.82340200,30312.73170176,0
1559920140000,7926.20000000,7930.96000000,7925.10000000,7926.24000000,9.49467500,1559920199999,75278.90014144,185,6.12160100,48535.60279554,0
1559920200000,7927.82000000,7929.75000000,7926.01000000,7927.96000000,11.49842400,1559920259999,91155.30360702,162,6.52328500,51716.71605972,0
1559920260000,7926.01000000,7929.27000000,7921.96000000,7923.17000000,27.73825100,1559920319999,219872.82510946,258,19.42887700,154022.45665070,0
1559920320000,7923.18000000,7923.19000000,7916.04000000,7918.94000000,19.26952100,1559920379999,152605.91039737,218,6.31337700,49996.53611162,0
1559920380000,7917.03000000,7918.88000000,7908.23000000,7912.15000000,23.25058200,1559920439999,183962.04911962,289,7.85528800,62160.94805059,0
1559920440000,7911.58000000,7923.93000000,7911.08000000,7919.79000000,19.53792300,1559920499999,154672.62132101,212,9.35065800,74039.15475738,0
1559920500000,7919.70000000,7923.10000000,7918.18000000,7920.00000000,12.52603600,1559920559999,99193.74289105,147,4.22517400,33462.65451717,0
1559920560000,7920.59000000,7921.05000000,7918.33000000,7920.02000000,5.68776100,1559920619999,45046.74696874,144,3.82491400,30293.98678001,0
1559920620000,7920.00000000,7923.92000000,7918.31000000,7923.89000000,12.79033800,1559920679999,101318.23314853,200,7.23350000,57301.26898624,0
1559920680000,7923.87000000,7923.88000000,7920.19000000,7922.08000000,17.54805300,1559920739999,139016.12076173,156,6.18388900,48982.86799827,0
