open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1560338820000,7952.95000000,7953.43000000,7948.35000000,7948.69000000,7.45439400,1560338879999,59272.47321207,145,2.09121200,16629.39985324,0
1560338880000,7948.69000000,7949.74000000,7945.90000000,7949.03000000,4.95604800,1560338939999,39388.43904217,108,3.67229400,29186.15168792,0
1560338940000,7949.01000000,7950.91000000,7946.66000000,7950.54000000,5.92829900,1560338999999,47119.92384734,112,2.88072700,22898.64667288,0
1560339000000,7950.39000000,7952.00000000,7947.79000000,7952.00000000,9.14207900,1560339059999,72681.63215870,149,6.38899800,50795.35867211,0
1560339060000,7952.00000000,7954.40000000,7950.89000000,7952.72000000,6.11620700,1560339119999,48639.73703347,149,3.50624300,27884.87848787,0
1560339120000,7952.84000000,7954.98000000,7951.44000000,7952.95000000,8.09576900,1560339179999,64385.58062598,125,4.31908200,34350.86666625,0
1560339180000,7954.89000000,7958.34000000,7951.43000000,7957.78000000,10.60580200,1560339239999,84360.50589814,148,4.80567100,38232.91955803,0
1560339240000,7957.78000000,7961.90000000,7957.78000000,7961.00000000,22.34323800,1560339299999,177858.95808499,224,18.77355400,149447.56950181,0
1560339300000,7961.00000000,7965.39000000,7958.88000000,7964.03000000,14.87806500,1560339359999,118463.13419925,250,6.52482000,51952.37902839,0
1560339360000,7964.24000000,7966.31000000,7961.55000000,7965.76000000,10.43681700,1560339419999,83129.57052924,200,4.36772900,34791.59669754,0
1560339420000,7965.73000000,7968.48000000,7961.69000000,7966.66000000,5.26886300,1560339479999,41968.24439864,133,3.22652700,25701.01189228,0
1560339480000,7966.88000000,7973.65000000,7966.88000000,7973.65000000,8.47745000,1560339539999,67569.47629444,201,4.94569100,39420.26610204,0
1560339540000,7973.65000000,7976.86000000,7970.75000000,7973.87000000,27.42504000,1560339599999,218703.17513783,269,8.57307300,68371.89459513,0
1560339600000,7973.07000000,7979.47000000,7971.37000000,7977.75000000,22.26779500,1560339659999,177610.98285013,236,10.67819200,85178.73110807,0
1560339660000,7977.73000000,7977.78000000,7962.39000000,7969.36000000,24.38577800,1560339719999,194346.13045073,375,12.15776300,96893.47562344,0
1560339720000,7969.62000000,7969.62000000,7957.03000000,7960.89000000,22.12213200,1560339779999,176155.03662932,251,10.48172300,83477.63075609,0
1560339780000,7960.89000000,7970.54000000,7959.98000000,7968.85000000,11.83679300,1560339839999,94293.61253516,173,5.73394900,45675.00335768,0
